appid,review_score_desc,total_positive,total_negative
42850,Very Positive,330,59
42890,Very Positive,624,86
42900,1 user reviews,1,0
42910,Very Positive,27296,4663
42920,Mostly Negative,69,106
42930,Mixed,24,13
42940,Mostly Positive,25,9
42950,Positive,32,6
42960,Very Positive,18378,1562
42980,Mixed,187,81
42990,Mixed,421,537
43000,Mixed,751,458
43100,Mostly Positive,202,53
43190,Very Positive,655,115
43500,Mixed,78,112
43600,Very Positive,307,34
44100,Very Positive,87,16
44600,Mixed,81,39
44680,Positive,15,2
44690,Very Positive,308,38
45100,Very Positive,1353,303
45200,Very Positive,57,4
45300,Mixed,466,271
45400,Very Positive,871,72
45410,Mixed,173,134
45420,Positive,9,1
45450,Very Positive,537,54
45720,Mixed,262,156
45740,Mostly Positive,6804,1909
45750,Mixed,2008,1045
45760,Very Positive,15176,1599
45770,Mostly Positive,3247,974
46000,Mixed,75,35
46200,Mixed,78,40
46250,Mostly Positive,494,200
46260,Very Positive,590,143
46270,Very Positive,384,72
46280,Mostly Negative,64,99
46290,Mixed,229,141
46340,Mixed,194,88
46350,Mixed,52,42
46360,Mixed,157,74
46370,Mixed,344,246
46380,Mixed,62,64
46400,Mixed,145,193
46410,Mixed,494,222
46440,Mostly Negative,93,217
46450,Mixed,290,178
46460,Very Positive,361,74
46480,Very Positive,895,195
46490,Mixed,250,318
46500,Very Positive,5951,797
46510,Very Positive,2605,425
46520,Mixed,186,131
46540,Mixed,324,463
46550,Mixed,252,187
46560,Mixed,1106,547
46570,Mixed,140,122
46600,Mixed,44,19
46700,Mostly Negative,14,41
46710,Mixed,18,27
46720,Mostly Negative,8,19
46730,Mostly Negative,12,42
46740,Mostly Negative,39,87
46750,Mixed,165,105
46760,Mostly Negative,11,23
46770,Mostly Positive,317,81
46790,Mixed,19,16
46830,Mostly Negative,12,23
46840,Mostly Negative,6,14
46850,Mixed,36,27
47110,Mostly Positive,15,4
47120,7 user reviews,5,2
47130,8 user reviews,6,2
47400,Mostly Negative,1579,3222
47410,Mixed,6071,3457
47700,Overwhelmingly Negative,817,4143
47780,Very Positive,27227,1743
47790,Mostly Positive,8425,2560
47810,Very Positive,26328,4366
47890,Very Positive,29439,4696
47920,Mixed,1741,836
48000,Very Positive,56416,4729
48110,Mixed,1127,1399
48150,Positive,17,3
48190,Very Positive,23091,3028
48220,Mixed,4420,4794
48240,Mixed,7657,5001
48700,Overwhelmingly Positive,167178,3898
48720,Very Positive,12274,1683
48800,Mixed,1179,1118
48900,Very Positive,261,64
48950,Very Positive,479,77
49000,Very Positive,109,24
49300,Mixed,98,91
49320,Mixed,33,28
49330,Mixed,112,59
49520,Very Positive,278297,32663
49540,Mixed,7434,4595
49600,Very Positive,7031,400
49800,Mixed,104,147
49810,Mostly Positive,135,40
49900,Mixed,198,97
50000,Very Positive,237,15
50130,Very Positive,54509,3561
50510,Mixed,79,108
50620,Very Positive,11440,1396
50910,Positive,43,0
50920,Mostly Positive,19,8
50930,Mostly Positive,15,5
50940,Positive,30,3
50960,Very Positive,97,18
50970,Mostly Positive,78,22
50980,Very Positive,82,12
50990,Very Positive,160,17
51000,Very Positive,129,22
51010,Very Positive,121,20
51020,Positive,14,1
51030,Positive,17,4
51060,Very Positive,171,30
55000,Very Positive,197,43
55020,Mixed,46,40
55040,Very Positive,1877,216
55100,Mixed,8157,5105
55110,Mostly Positive,3627,1359
55140,Very Positive,3520,468
55150,Very Positive,30223,2744
55230,Overwhelmingly Positive,66445,3021
57000,Very Positive,123,13
57200,Very Positive,446,51
57300,Very Positive,33510,1918
57620,Mixed,427,333
57650,Mixed,397,481
57680,Mostly Positive,738,293
57690,Very Positive,11639,1052
57700,Mixed,120,53
57740,Mostly Positive,1277,480
57800,Mixed,91,92
57900,Mixed,7970,3534
58200,Very Positive,308,43
58230,Very Positive,110,22
58400,Mostly Negative,52,94
58550,Mostly Negative,247,466
58560,Very Positive,406,48
58570,Very Positive,595,116
58610,Mostly Positive,2643,749
60340,Mixed,82,41
60350,Very Positive,161,20
60600,Mixed,40,29
60700,Mostly Negative,10,32
60800,Mixed,100,103
61100,Mostly Positive,200,60
61310,Mostly Positive,162,55
61500,Mostly Positive,808,224
61510,Very Positive,334,67
61520,Very Positive,571,68
61600,Very Positive,501,83
61730,Very Positive,337,20
62000,Very Positive,503,42
62100,Very Positive,736,48
63000,Very Positive,849,200
63110,Mixed,195,89
63200,Mostly Positive,951,252
63380,Very Positive,22456,2986
63500,Mostly Positive,824,229
63610,Very Positive,1260,150
63620,Mostly Positive,91,24
63630,Mostly Positive,53,21
63640,Mixed,34,20
63650,Mostly Positive,144,43
63660,Very Positive,919,141
63700,Very Positive,708,171
63710,Very Positive,3382,564
63800,Mixed,254,165
63900,Very Positive,268,42
63910,Very Positive,1467,132
63940,Mixed,844,477
63950,Mixed,678,336
63960,Mixed,94,109
63970,Mixed,678,336
64000,Very Positive,4497,648
65070,Mixed,73,62
65080,Mostly Positive,138,37
65200,Mostly Negative,37,61
65300,Very Positive,2093,289
65400,Very Positive,156,36
65500,Mixed,134,86
65530,Mixed,233,152
65540,Very Positive,16544,1344
